Artist ID,Name,Genres,Followers,Popularity
23xFbA9rYgRX8mreqysWPc,BossMan Dlow,,487806,73
09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,"art pop, experimental pop, uk alternative pop",209096,57
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,alt z,3494975,90
2eIB6vFotL2su94z3pUC1j,Elvie Shane,modern country pop,40041,47
687cZJR45JO7jhk1LHIbgq,Tems,"afro r&b, afrobeats, alte, nigerian pop",2649350,78
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94197417,96
7crPfGd2k81ekOoSqQKWWz,Stevie Nicks,heartland rock,1800331,66
66ihevNkSYNzRAl44dx6jJ,Carin Leon,"corrido, musica mexicana, sad sierreno, sierreno",14016083,87
3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,"indie folk, modern blues, neo mellow, neo soul, soul",1766834,75
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,"indie pop, modern alternative pop",566041,67
1ZVACPeq7ccGCoUXwtafUU,KNEECAP,irish hip hop,143348,60
4E2rKHVDssGJm2SCDOMMJB,Doechii,alternative r&b,844432,78
5eYSqn4LCXLgIFYR4qOZ1k,TitoM,amapiano,215974,59
0M6k4Kgi5NiIDnafSKSLE0,Yuppe,,65324,58
16RKP7aw26uSkNpadpEgaF,S.N.E,,20579,57
4VqCBSJ9fvJ1XDQUd7K2Ft,EeQue,barcadi,40188,53
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,9970402,82
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,"pop, r&b en espanol",8399264,80
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,"bedroom pop, bubblegrunge, indie pop, pov: indie",4516579,82
6LqNN22kT3074XbTVUrhzX,Kesha,"dance pop, pop",8358470,81
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,afrobeats,4018386,78
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,"album rock, blues rock, classic rock, electric blues, hard rock, jam band, rock, southern rock",808963,60
5B7NeaqVrmXPyF05C9tnZ3,Christian Lee Hutson,"countrygaze, deep new americana",37901,42
2Ggj5XNlIb4Lnbqe307FyB,Lola Brooke,trap queen,270849,52
3KV3p5EY4AvKxOlhGHORLg,Jeremih,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary",6802919,76
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop, pop, uk pop",45180340,88
41pd7r1XBRsvdxY3vHEgib,Wunderhorse,,118102,63
4ktfLBwmywJsDFeBsce3F6,Linda Thompson,british folk,11644,26
1z98aCtgTzyUkAHR50ryFN,Teddy Thompson,alternative country,20793,36
3tVQdUvClmAT7URs9V3rsp,Wizkid,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",6613402,84
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"r&b, rap",6857011,86
3ztRX1UoIOsFqpD7dB6R8O,illuminati hotties,bubblegrunge,76308,43
5fTJlk4f1YRh4ObYssJo44,Silverada,"classic texas country, red dirt, roots americana",43329,44
29XOeO6KIWxGthejQqn793,Flying Lotus,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky",798217,56
0Ve1sk7tcGsb7ZVsp4o8GG,The Softies,"sacramento indie, tape club, twee pop",23419,36
4FGPzWzgjURDNT7JQ8pYgH,Zach Top,modern country pop,338541,74
7mWF9KLJnw7RBibAnNOSB9,Original Cast of Stereophonic,,1273,34
2rjaQ9SW19AqHuD5d8vyJz,Tom Pecinka,,40,34
5J7cdiHUhj1czoAsBFG4dd,Will Brill,,103,33
6Q2PaUxhasOg5BZWUDvWAK,Juliana Canfield,,61,34
5CHHfbhxEXG1z77bbj4ila,Sarah Pidgeon,,144,34
3fE1pLoa2o2aejSTzBc9ag,Chris Stack,,29,33
1POwuKLQ9xhMZzIYElNtWp,Will Butler,,27844,35
7vEryrK6GxnOKI3sGyPjHN,Justin Craig,,7,33
4aej3kKLxSLM0WauTSfZ7k,Abby Sage,modern indie pop,30112,50
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,"contemporary country, country, country dawn, country road",3629680,69
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,irish hip hop,217860,72
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"pop, r&b, rap",7997617,77
1oPRcJUkloHaRLYx0olBLJ,Magdalena Bay,la pop,332291,69
11zHPjHnZN0ACA50rSnTcy,Nada Surf,power pop,198280,51
4nVa6XlBFlIkF6msW57PHp,Hanumankind,"desi hip hop, indian underground rap, malayalam hip hop",550392,72
6tYCSHLtTI54AQJFOMfU45,Kalmi,,38569,71
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",4065908,73
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,"anime, k-pop boy group",10535672,82
335TWGWGFan4vaacJzSiU8,A. G. Cook,"bubblegum bass, escape room, hyperpop, proto-hyperpop",170417,60
7iK8PXO48WeuP03g8YR51W,Myke Towers,"reggaeton, trap latino, urbano latino",17652497,90
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton, trap latino, urbano latino",87762225,96
22wbnEMDvgVIAGdFeek6ET,Benson Boone,singer-songwriter pop,4104276,85
