Track ID,Track Name,Popularity,Album,Release Date,Duration (ms),Artist,Explicit
2rLq6QIfooAKsF8UZuoLsS,Cardinal,57,Deeper Well,2024-03-15,191413,Kacey Musgraves,False
2gWY1fvwvKPQFFoahY4p3v,Never Need Me,58,What A Devastating Turn of Events,2024-05-03,205431,Rachel Chinouriri,False
06uOV6fQr0khY0LzYcy4w0,World on a String,41,Here in the Pitch,2024-05-03,189640,Jessica Pratt,False
40Ccxt7rKCXiViGQKPPACR,Cómo Dónde y Cuándo,55,Las Mujeres Ya No Lloran,2024-03-22,179000,Shakira,False
09ttHg3ZNVgDlYBZa1ZBw0,Starburster,70,Romance,2024-08-23,221450,Fontaines D.C.,True
6bryx7HyB4lVDc0KQXuoJ0,Get In With Me,65,Mr Beat The Road,2024-03-15,120792,BossMan Dlow,True
7f57Tz3uydJkSuVsQ7sj4l,Like I Say (I runaway),56,My Method Actor,2024-09-13,177475,Nilüfer Yanya,True
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",89,The Secret of Us,2024-06-21,157146,Gracie Abrams,True
4aO74pDpq2SGvJzh041XcN,215634,17,Damascus,2024-04-19,278737,Elvie Shane,False
1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,71,Born in the Wild,2024-06-06,178041,Tems,False
1wFFFzJ5EsKbBWZriAcubN,Family Matters,71,Family Matters,2024-05-03,456933,Drake,True
6KzCUv4TwlnFhej36ef5MR,The Lighthouse,47,The Lighthouse,2024-09-27,291200,Stevie Nicks,False
2SmXed2QmKo2esYa86oQRV,It was always you (Siempre fuiste tú),54,"Boca Chueca, Vol. 1",2024-05-30,209493,Carin Leon,True
1Wi1XpdZzGVIdRTzlTrIEF,Soup,64,Big Ideas,2024-07-12,213116,Remi Wolf,False
3RFpr9aR7pBAFJ1XQnuThq,Fine Art,54,Fine Art,2024-06-14,139283,KNEECAP,True
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,72,Alligator Bites Never Heal,2024-08-30,159586,Doechii,True
54seQV7MCcppBrznALCdlT,"Tshwala Bam (feat. S.N.E, EeQue)",61,"Tshwala Bam (feat. S.N.E, EeQue)",2024-02-23,390000,TitoM,False
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),83,New Woman (feat. ROSALÍA),2024-08-15,179789,LISA,False
1a19jsjG2DvbN1fVJonKUU,Beaches,68,This Is How Tomorrow Moves,2024-08-09,230053,beabadoobee,False
5oOZGQnZZToIHI55lw2E97,JOYRIDE,73,JOYRIDE,2024-07-04,150000,Kesha,True
2Q2QZJlhGcGPV1XAdvcqob,Lagos Love Story,46,The Year I Turned 21,2024-05-30,155695,Ayra Starr,False
4OiL5M05HmrnBk1AOdHNe0,Wanting and Waiting,41,Happiness Bastards,2024-03-15,255560,The Black Crowes,False
45ZAsEXNqxpB7krlsLvddC,Carousel Horses,40,Paradise Pop. 10,2024-09-27,276946,Christian Lee Hutson,False
5zr6snM3WQRoYC0QfnD9n7,No One Else (feat. Jeremih),53,No One Else (feat. Jeremih),2024-09-06,162240,Lola Brooke,True
5b5cPscqVEMChvDqscVw26,Training Season,79,Radical Optimism,2024-05-03,209487,Dua Lipa,False
2FhyTzw49NtYw29JEFvdu2,Midas,61,Midas,2024-04-10,138640,Wunderhorse,False
4UURvjworrbU2SfxPjUfg8,Those Damn Roches,9,Proxy Music,2024-06-21,253198,Linda Thompson,False
2nYeyMeqYDiFSYYtl2BWD6,Piece of My Heart (feat. Brent Faiyaz),73,Piece of My Heart (feat. Brent Faiyaz),2024-10-18,259354,Wizkid,False
00UZIRaEhmxxTvmoacqLPA,Can't Be Still,34,POWER,2024-08-23,178933,illuminati hotties,False
2UMm2RwGN3bwb5LBJ4rdU0,Radio Wave,24,Silverada,2024-06-28,350894,Silverada,False
10phfjSAnxRUxbdlrPdarb,Ajhussi,41,Spirit Box,2024-10-29,262377,Flying Lotus,False
0KSMQIZc1zs5syBn4dtMSj,California Highway 99,21,The Bed I Made,2024-08-23,143266,The Softies,False
4eGwcJ946Oj7scyzdlaFCD,Use Me,68,Cold Beer & Country Music,2024-04-05,236744,Zach Top,False
5FgQYIHI30oIUeJrInyXDq,Masquerade,35,Stereophonic (Original Cast Recording),2024-05-10,235720,Original Cast of Stereophonic,False
2h2KXOHb1iYjSXvq7hQTEc,Milk,41,The Rot,2024-03-01,193276,Abby Sage,False
1GUvNctSDGXpo7S3H3uxpT,Dammit Randy,43,Dammit Randy,2024-06-28,179559,Miranda Lambert,False
5Nt2FMqnKI2mlp7lztURNo,KEHLANI (REMIX) [feat. Kehlani],73,KEHLANI (REMIX) [feat. Kehlani],2024-06-20,179974,Jordan Adetunji,True
05viacwP18vZkQozDwS5kN,That's My Floor,57,Imaginal Disk,2024-08-23,209800,Magdalena Bay,False
61b1igoHonfia3nw6qcfJJ,In Front of Me Now,37,Moon Mirror,2024-09-13,221506,Nada Surf,False
0OA00aPt3BV10qeMIs3meW,Big Dawgs,84,Big Dawgs,2024-07-09,190666,Hanumankind,True
4c7iXNRiy72rMXfRTR9V0V,On The Game,47,Ohio Players,2024-04-05,242838,The Black Keys,False
4ChomJf8z16E6Zw4EoioYY,After Hours,67,CRASH,2024-06-20,202414,Kehlani,False
3RkSwrsIadAvqVtMp5yhaB,XO (Only If You Say Yes),75,ROMANCE : UNTOLD,2024-07-12,188332,ENHYPEN,False
6yYnmUYPdTM2ExnJpBKMOT,Britpop,45,Britpop,2024-05-10,202055,A. G. Cook,False
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,76,ADIVINO,2024-04-25,278644,Myke Towers,True
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,88,Fireworks & Rollerblades,2024-04-05,180304,Benson Boone,False
